id,pt_PT,pt_BR,pt_PT_words,pt_BR_words
294,"A Teresa encontrou um velho álbum de fotografias no sótão. Passou horas a folheá-lo e a recordar momentos da infância. Algumas fotos fizeram-na rir, enquanto outras a deixaram nostálgica. Decidiu digitalizar as imagens para partilhá-las com a família.","Teresa encontrou um álbum de fotos antigo no sótão. Passou horas folheando e relembrando momentos da infância. Algumas fotos a fizeram rir, enquanto outras a deixaram nostálgica. Decidiu digitalizar as imagens para compartilhá-las com a família.",38,36
295,"A Filipa inscreveu-se numa corrida de 10 quilómetros na cidade. Durante semanas, treinou todos os dias para melhorar o seu tempo. No dia da prova, estava nervosa, mas conseguiu terminar a corrida. Ficou muito feliz com o seu desempenho e prometeu participar novamente no próximo ano.","Filipa se inscreveu em uma corrida de 10 quilômetros na cidade. Durante semanas, treinou todos os dias para melhorar seu tempo. No dia da prova, estava nervosa, mas conseguiu terminar a corrida. Ficou muito feliz com seu desempenho e prometeu participar novamente no ano que vem.",46,46
296,"O Tomé passou a tarde a ajudar a avó a fazer bolachas. Misturou os ingredientes e cortou a massa em formas de estrelas e corações. Quando ficaram prontas, não resistiu a provar uma ainda quente.","O Tomé passou a tarde ajudando a avó a fazer biscoitos. Misturou os ingredientes e cortou a massa em formatos de estrelas e corações. Quando ficaram prontos, não resistiu e provou um ainda quente.",35,34
297,"O Hugo passou a tarde a ensinar o irmão mais novo a andar de bicicleta. No início, o rapaz tinha medo de cair, mas com paciência conseguiu equilibrar-se. No final, estavam os dois a rir e a celebrar.","O Hugo passou a tarde ensinando o irmão mais novo a andar de bicicleta. No começo, o menino tinha medo de cair, mas com paciência conseguiu se equilibrar. No final, os dois estavam rindo e comemorando.",38,36
298,Vamos visitar o museu da cidade no próximo fim de semana para ver a nova exposição.,Vamos visitar o museu da cidade no próximo fim de semana para ver a nova exposição.,16,16
299,Ela decidiu ir ao mercado de manhã cedo para evitar as filas e comprar legumes frescos.,Ela decidiu ir ao mercado de manhã cedo para evitar as filas e comprar legumes frescos.,16,16
300,Ela decidiu comprar um vestido novo para usar na festa de casamento da sua melhor amiga.,Ela decidiu comprar um vestido novo para usar na festa de casamento da sua melhor amiga.,16,16
301,Os miúdos estavam a brincar no jardim quando começou a chover de repente e correram para casa.,Os miúdos estavam a brincar no jardim quando começou a chover de repente e correram para casa.,17,17
302,Vou passar o fim de semana na casa dos meus avós para aproveitar o campo e descansar um pouco.,Vou passar o fim de semana na casa dos meus avós para aproveitar o campo e descansar um pouco.,19,19
303,Comprei um livro novo na livraria e mal posso esperar para começar a lê-lo esta noite.,Comprei um livro novo na livraria e mal posso esperar para começar a lê-lo esta noite.,16,16
304,Vou precisar de uma mala maior para levar todas as roupas que quero usar nas férias.,Vou precisar de uma mala maior para levar todas as roupas que quero usar nas férias.,16,16
305,Ela disse que ia preparar um bolo de chocolate para a festa de aniversário do irmão.,Ela disse que ia preparar um bolo de chocolate para a festa de aniversário do irmão.,16,16
306,Amanhã vamos visitar o museu da cidade.,Amanhã vamos visitar o museu da cidade.,7,7
307,Vamos almoçar fora no próximo fim de semana.,Vamos almoçar fora no próximo fim de semana.,8,8
308,O jantar vai ser servido às oito horas.,O jantar vai ser servido às oito horas.,8,8
309,O relógio da sala parou de funcionar ontem.,O relógio da sala parou de funcionar ontem.,8,8
310,A chuva começou a cair de repente esta tarde.,A chuva começou a cair de repente esta tarde.,9,9
311,Ele comprou um presente para o aniversário dela.,Ele comprou um presente para o aniversário dela.,8,8
